STATION_NA,longitude,latitude,cluster_25,cluster_lat,cluster_long,num_stations
DOWNTOWN MRT STATION,103.85277105540216,1.2795532221770152,20,1.279704112889254,103.8522408933632,14
GARDENS BY THE BAY MRT STATION,103.867903207843,1.2791668064192434,20,1.279704112889254,103.8522408933632,14
MARINA BAY MRT STATION,103.8551306901166,1.275451160751062,20,1.279704112889254,103.8522408933632,14
MARINA SOUTH MRT STATION,103.8622109755855,1.2740203434260176,20,1.279704112889254,103.8522408933632,14
MARINA SOUTH PIER MRT STATION,103.862954860367,1.2709839133404248,20,1.279704112889254,103.8522408933632,14
MAXWELL MRT STATION,103.84399205942668,1.28071507141148,20,1.279704112889254,103.8522408933632,14
OUTRAM PARK MRT STATION,103.83907654709712,1.2807282808591962,20,1.279704112889254,103.8522408933632,14
RAFFLES PLACE MRT STATION,103.8514146762947,1.283703781025636,20,1.279704112889254,103.8522408933632,14
SHENTON WAY MRT STATION,103.85093581007634,1.277470581145045,20,1.279704112889254,103.8522408933632,14
TANJONG PAGAR MRT STATION,103.84643317490276,1.2765062559019933,20,1.279704112889254,103.8522408933632,14
TELOK AYER MRT STATION,103.848707176039,1.28221177617946,20,1.279704112889254,103.8522408933632,14
BEAUTY WORLD MRT STATION,103.77573217376433,1.3410867460890732,18,1.352904261245112,103.76119781815864,4
BUKIT BATOK MRT STATION,103.74969897623924,1.349219024939555,18,1.352904261245112,103.76119781815864,4
BUKIT GOMBAK MRT STATION,103.7519617476115,1.35903198502042,18,1.352904261245112,103.76119781815864,4
HILLVIEW MRT STATION,103.7673983750195,1.3622792889314002,18,1.352904261245112,103.76119781815864,4
BEDOK MRT STATION,103.92941150425968,1.3239705415943166,23,1.3331740695934966,103.9367325042724,4
BEDOK RESERVOIR MRT STATION,103.9331870061805,1.3364513321142049,23,1.3331740695934966,103.9367325042724,4
TAMPINES WEST MRT STATION,103.938572621894,1.3453148925641951,23,1.3331740695934966,103.9367325042724,4
TANAH MERAH MRT STATION,103.94575888475548,1.32695951210127,23,1.3331740695934966,103.9367325042724,4
BEDOK NORTH MRT STATION,103.91851436903175,1.3345218518539077,8,1.328020742703568,103.90856770111706,5
EUNOS MRT STATION,103.90289713414602,1.3195365796568066,8,1.328020742703568,103.90856770111706,5
KAKI BUKIT MRT STATION,103.9092756874445,1.33511654835614,8,1.328020742703568,103.90856770111706,5
KEMBANGAN MRT STATION,103.91292018407653,1.321037934168735,8,1.328020742703568,103.90856770111706,5
UBI MRT STATION,103.8992311308865,1.32989079948225,8,1.328020742703568,103.90856770111706,5
BENCOOLEN MRT STATION,103.84989185539366,1.2983645713800966,3,1.2992564109836249,103.85375861206975,13
BRAS BASAH MRT STATION,103.8505264190178,1.297001300942576,3,1.2992564109836249,103.85375861206975,13
BUGIS MRT STATION,103.85620926697877,1.300268019479235,3,1.2992564109836249,103.85375861206975,13
CITY HALL MRT STATION,103.8524408132035,1.29320592569534,3,1.2992564109836249,103.85375861206975,13
DHOBY GHAUT MRT STATION,103.84550168866969,1.299410708852785,3,1.2992564109836249,103.85375861206975,13
ESPLANADE MRT STATION,103.85568040869371,1.29319436252982,3,1.2992564109836249,103.85375861206975,13
FORT CANNING MRT STATION,103.844297532881,1.292618185761985,3,1.2992564109836249,103.85375861206975,13
JALAN BESAR MRT STATION,103.8552703450145,1.30517858701128,3,1.2992564109836249,103.85375861206975,13
LAVENDER MRT STATION,103.862846689763,1.3073939998022048,3,1.2992564109836249,103.85375861206975,13
LITTLE INDIA MRT STATION,103.849279413906,1.3067475131053183,3,1.2992564109836249,103.85375861206975,13
NICOLL HIGHWAY MRT STATION,103.8638288514725,1.299915224696305,3,1.2992564109836249,103.85375861206975,13
PROMENADE MRT STATION,103.860348993272,1.2932255017455432,3,1.2992564109836249,103.85375861206975,13
ROCHOR MRT STATION,103.852739678641,1.30380944178463,3,1.2992564109836249,103.85375861206975,13
BENDEMEER MRT STATION,103.863146618684,1.3136666153239251,17,1.323653604278816,103.8493640643868,8
BOON KENG MRT STATION,103.861370955292,1.3190856294870332,17,1.323653604278816,103.8493640643868,8
BRADDELL MRT STATION,103.846758956181,1.3408284916757165,17,1.323653604278816,103.8493640643868,8
