school_name,address,postal_code,type_code,nature_code,session_code,mainlevel_code,sap_ind_x,autonomous_ind_x,gifted_ind_x,ip_ind_x,latitude,longitude,cluster,school_count,sap_ind_y,autonomous_ind_y,gifted_ind_y,ip_ind_y,sap_ind_pct,autonomous_ind_pct,gifted_ind_pct,ip_ind_pct,cluster_center_lat,cluster_center_lng
CANOSSA CATHOLIC PRIMARY SCHOOL,1 Sallim Road,387621,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.32664424544839,103.882227964852,4,51,10,11,4,4,19.6,21.6,7.8,7.8,1.3307646237117037,103.87292949539535
CATHOLIC HIGH SCHOOL,9 BISHAN STREET 22,579767,GOVERNMENT-AIDED SCH,BOYS' SCHOOL,SINGLE SESSION,MIXED LEVELS,True,True,True,True,1.3547230747166,103.844874676599,4,51,10,11,4,4,19.6,21.6,7.8,7.8,1.3307646237117037,103.87292949539535
CEDAR GIRLS' SECONDARY SCHOOL,1 CEDAR AVENUE,349692,GOVERNMENT SCHOOL,GIRLS' SCHOOL,SINGLE SESSION,SECONDARY,False,True,False,True,1.33375800216334,103.873933064886,4,51,10,11,4,4,19.6,21.6,7.8,7.8,1.3307646237117037,103.87292949539535
CHIJ (KATONG) PRIMARY,17 MARTIA ROAD,424821,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.30648535277087,103.911105620496,4,51,10,11,4,4,19.6,21.6,7.8,7.8,1.3307646237117037,103.87292949539535
CHIJ (KELLOCK),1 Bukit Teresa Road,99757,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.31431505356032,103.892216139188,4,51,10,11,4,4,19.6,21.6,7.8,7.8,1.3307646237117037,103.87292949539535
CHIJ KATONG CONVENT,346 MARINE TERRACE,449150,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,SECONDARY,False,True,False,False,1.30644268034894,103.917144350028,4,51,10,11,4,4,19.6,21.6,7.8,7.8,1.3307646237117037,103.87292949539535
CHIJ OUR LADY OF GOOD COUNSEL,2C Burghley Drive,558979,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.35742952269615,103.864009397373,4,51,10,11,4,4,19.6,21.6,7.8,7.8,1.3307646237117037,103.87292949539535
CHIJ OUR LADY OF THE NATIVITY,1257 UPPER SERANGOON ROAD,534793,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.37330297140128,103.897575728303,4,51,10,11,4,4,19.6,21.6,7.8,7.8,1.3307646237117037,103.87292949539535
CHIJ PRIMARY (TOA PAYOH),628 Lorong 1 Toa Payoh,319765,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.33275264711587,103.841847263786,4,51,10,11,4,4,19.6,21.6,7.8,7.8,1.3307646237117037,103.87292949539535
CHIJ SECONDARY (TOA PAYOH),626 LORONG 1 TOA PAYOH,319764,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,SECONDARY,False,True,False,False,1.33246079948303,103.843271625083,4,51,10,11,4,4,19.6,21.6,7.8,7.8,1.3307646237117037,103.87292949539535
CHIJ ST. NICHOLAS GIRLS' SCHOOL,501 ANG MO KIO STREET 13,569405,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,MIXED LEVELS,True,True,False,True,1.37347687878916,103.834253269436,4,51,10,11,4,4,19.6,21.6,7.8,7.8,1.3307646237117037,103.87292949539535
CHIJ ST. THERESA'S CONVENT,160 LOWER DELTA ROAD,99138,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,False,1.31431505356032,103.892216139188,4,51,10,11,4,4,19.6,21.6,7.8,7.8,1.3307646237117037,103.87292949539535
CHUNG CHENG HIGH SCHOOL (MAIN),50 GOODMAN ROAD,439012,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,True,True,False,False,1.30509154753048,103.891653229373,4,51,10,11,4,4,19.6,21.6,7.8,7.8,1.3307646237117037,103.87292949539535
GEYLANG METHODIST SCHOOL (PRIMARY),4 Geylang East Central,389706,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.31814416827374,103.883628501601,4,51,10,11,4,4,19.6,21.6,7.8,7.8,1.3307646237117037,103.87292949539535
GEYLANG METHODIST SCHOOL (SECONDARY),2 GEYLANG EAST CENTRAL,389705,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,False,1.31764900474601,103.882661129303,4,51,10,11,4,4,19.6,21.6,7.8,7.8,1.3307646237117037,103.87292949539535
HAIG GIRLS' SCHOOL,51 Koon Seng Road,427072,GOVERNMENT SCHOOL,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.31194344271383,103.902902557195,4,51,10,11,4,4,19.6,21.6,7.8,7.8,1.3307646237117037,103.87292949539535
HONG WEN SCHOOL,30 TOWNER ROAD,327829,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,True,False,False,False,1.32175999964553,103.857628468881,4,51,10,11,4,4,19.6,21.6,7.8,7.8,1.3307646237117037,103.87292949539535
KHENG CHENG SCHOOL,15 LORONG 3 TOA PAYOH,319580,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.3373381935639,103.847148501824,4,51,10,11,4,4,19.6,21.6,7.8,7.8,1.3307646237117037,103.87292949539535
KONG HWA SCHOOL,350 GUILLEMARD ROAD,399772,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,True,False,False,False,1.31099674009193,103.888352029067,4,51,10,11,4,4,19.6,21.6,7.8,7.8,1.3307646237117037,103.87292949539535
KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,8 BISHAN STREET 13,579793,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.34939813669536,103.855018233311,4,51,10,11,4,4,19.6,21.6,7.8,7.8,1.3307646237117037,103.87292949539535
MAHA BODHI SCHOOL,10 UBI AVENUE 1,408931,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,True,False,False,False,1.32858023873554,103.901306904157,4,51,10,11,4,4,19.6,21.6,7.8,7.8,1.3307646237117037,103.87292949539535
MANJUSRI SECONDARY SCHOOL,20 UBI AVENUE 1,408940,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,False,1.32747123084846,103.901719963831,4,51,10,11,4,4,19.6,21.6,7.8,7.8,1.3307646237117037,103.87292949539535
MARIS STELLA HIGH SCHOOL,25 MOUNT VERNON ROAD,368051,GOVERNMENT-AIDED SCH,BOYS' SCHOOL,SINGLE SESSION,MIXED LEVELS,True,True,False,False,1.34139822375509,103.87776938227,4,51,10,11,4,4,19.6,21.6,7.8,7.8,1.3307646237117037,103.87292949539535
MARYMOUNT CONVENT SCHOOL,20 Marymount Road,297754,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.34043840661368,103.839811736775,4,51,10,11,4,4,19.6,21.6,7.8,7.8,1.3307646237117037,103.87292949539535
METHODIST GIRLS' SCHOOL (PRIMARY),11 Blackmore Drive,599986,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.33266213599636,103.783382114018,4,51,10,11,4,4,19.6,21.6,7.8,7.8,1.3307646237117037,103.87292949539535
MONTFORT JUNIOR SCHOOL,52 HOUGANG AVENUE 8,538786,GOVERNMENT-AIDED SCH,BOYS' SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.37362445234082,103.889741457901,4,51,10,11,4,4,19.6,21.6,7.8,7.8,1.3307646237117037,103.87292949539535
NANYANG JUNIOR COLLEGE,128 SERANGOON AVENUE 3,556111,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,FULL DAY,JUNIOR COLLEGE,False,False,False,False,1.35028314949236,103.866498721912,4,51,10,11,4,4,19.6,21.6,7.8,7.8,1.3307646237117037,103.87292949539535
NGEE ANN PRIMARY SCHOOL,344 MARINE TERRACE,449149,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.30553224180437,103.917570005713,4,51,10,11,4,4,19.6,21.6,7.8,7.8,1.3307646237117037,103.87292949539535
PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),298 LORONG AH SOO,536741,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.3502545600894,103.884846876112,4,51,10,11,4,4,19.6,21.6,7.8,7.8,1.3307646237117037,103.87292949539535
PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY),296 LOR AH SOO,536742,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,SECONDARY,False,True,False,False,1.35096755912522,103.885120050588,4,51,10,11,4,4,19.6,21.6,7.8,7.8,1.3307646237117037,103.87292949539535
PEI CHUN PUBLIC SCHOOL,16 LORONG 7 TOA PAYOH,319320,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,True,False,False,False,1.33677864390672,103.855341310212,4,51,10,11,4,4,19.6,21.6,7.8,7.8,1.3307646237117037,103.87292949539535
RAFFLES GIRLS' SCHOOL (SECONDARY),2 BRADDELL RISE,318871,INDEPENDENT SCHOOL,GIRLS' SCHOOL,SINGLE SESSION,SECONDARY,False,False,True,True,1.34217479932295,103.84313404727,4,51,10,11,4,4,19.6,21.6,7.8,7.8,1.3307646237117037,103.87292949539535
SINGAPORE CHINESE GIRLS' PRIMARY SCHOOL,190 DUNEARN ROAD,309437,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.3206340835184,103.828164966953,4,51,10,11,4,4,19.6,21.6,7.8,7.8,1.3307646237117037,103.87292949539535
ST. ANDREW'S JUNIOR COLLEGE,5 Sorby Adams Drive,357691,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,FULL DAY,JUNIOR COLLEGE,False,False,False,False,1.33306515740956,103.863576377056,4,51,10,11,4,4,19.6,21.6,7.8,7.8,1.3307646237117037,103.87292949539535
