Year,Month,Average_Close
2003,2,1291.6372205946182
2003,1,1347.38408314098
2002,12,1354.884991455078
2002,11,1409.4440063476563
2002,10,1419.3386867357337
2002,9,1421.884288969494
2002,8,1511.3385707310267
2002,7,1571.0195684018342
2002,6,1604.9224975585937
2002,5,1723.799525669643
2002,4,1751.29999889027
2002,3,1792.0224975585938
2002,2,1731.982225206163
2002,1,1698.1477217240767
2001,12,1589.1389288651317
2001,11,1411.4485677083333
2001,10,1389.2704335088315
2001,9,1424.4070068359374
2001,8,1640.806807084517
2001,7,1657.4827270507812
2001,6,1694.0447591145833
2001,5,1687.1433279854912
2001,4,1643.0364807128906
2001,3,1779.7157098679315
2001,2,1963.6185119628906
2001,1,1927.0219970703124
2000,12,1949.7499935752467
2000,11,1979.1663651899858
2000,10,1916.4500093005952
2000,9,2059.308099655878
2000,8,2135.6477383700285
2000,7,2090.459519159226
2000,6,2014.7831809303977
2000,5,1984.9757080078125
2000,4,2099.0531455592104
2000,3,2112.4654651988635
2000,2,2193.1005004882813
2000,1,2353.4157133556546
1999,12,2361.132734818892
1999,11,2174.6776297433034
1999,10,2052.914283389137
1999,9,2089.1940751509233
1999,8,2081.592843191964
1999,7,2131.0068026455965
1999,6,2060.597245649858
1999,5,1909.4195265997023
1999,4,1747.2242838541667
1999,3,1470.9009121981535
1999,2,1369.1861300998264
1999,1,1477.9810598273027
1998,12,1386.9372614080255
1998,11,1297.1052420479912
1998,10,1043.8685709635417
1998,9,887.2490927956321
1998,8,964.9849975585937
1998,7,1081.0260858950408
1998,6,1115.3745339133523
1998,5,1342.9542300575658
1998,4,1528.7140014648437
1998,3,1616.7545443448153
1998,2,1537.5150024414063
1998,1,1288.9722290039062
1997,12,1620.5590986772017
1997,11,1678.884213096217
1997,10,1783.154541015625
1997,9,1897.527254971591
1997,8,1919.7619047619048
1997,7,1965.2304369055707
1997,6,2014.7380952380952
1997,5,2064.4299743652346
1997,4,2051.076195126488
1997,3,2139.639990234375
1997,2,2222.388916015625
1997,1,2235.623802548363
1996,12,2195.6857096354165
1996,11,2157.074987792969
1996,10,2090.1652035920515
1996,9,2143.5809616815477
1996,8,2135.6285574776784
1996,7,2193.6217518682065
1996,6,2302.3052657277963
1996,5,2357.3666410900296
1996,4,2387.1699951171877
1996,3,2386.852364676339
1996,2,2453.868408203125
1996,1,2393.0954811789775
1995,12,2201.5499877929688
1995,11,2094.0454434481535
1995,10,2114.8333100818454
1995,9,2119.728538876488
1995,8,2106.0500044389205
1995,7,2155.7571382068454
1995,6,2139.4227183948865
1995,5,2139.464978027344
1995,4,2067.5052811472037
1995,3,2089.5136385830965
1995,2,2103.257928145559
1995,1,2096.20498046875
