STATION_NA,EXIT_CODE,longitude,latitude
KRANJI MRT STATION,Exit C,103.761754685561,1.42512594915704
BUKIT PANJANG LRT STATION,Exit A,103.763063555247,1.37802038374966
BUKIT PANJANG LRT STATION,Exit B,103.763178520546,1.3778632485676
SAMUDERA LRT STATION,Exit A,103.901911509627,1.41586536048285
SAMUDERA LRT STATION,Exit B,103.902361560111,1.41590585709171
TECK LEE LRT STATION,Exit A,103.906781529506,1.4128757347357
TECK LEE LRT STATION,Exit B,103.906510789934,1.41292900309077
SAM KEE LRT STATION,Exit A,103.905038571005,1.40970250004176
PETIR LRT STATION,Exit A,103.766793014963,1.37760322809516
PENDING LRT STATION,Exit A,103.771327842297,1.37629711719364
BANGKIT LRT STATION,Exit A,103.772590574209,1.37985334676455
FAJAR LRT STATION,Exit A,103.770675518445,1.38446507117965
SEGAR LRT STATION,Exit A,103.769409914802,1.38781155599523
JELAPANG LRT STATION,Exit A,103.764676792845,1.38683269953093
TAMPINES MRT STATION,Exit F,103.942653681878,1.35419392760642
GEYLANG BAHRU MRT STATION,Exit A,103.871555607569,1.32156169874025
TAMPINES EAST MRT STATION,Exit A,103.954540440781,1.35646076166742
CHOA CHU KANG MRT STATION,Exit A,103.744557135368,1.38543128087598
ORCHARD MRT STATION,Exit 3,103.832770796508,1.30416113765593
ORCHARD MRT STATION,Exit 7,103.832171601239,1.30316753447888
SOMERSET MRT STATION,Exit B,103.838458985164,1.30076651877174
DHOBY GHAUT MRT STATION,Exit A,103.846787971786,1.29844509204817
DHOBY GHAUT MRT STATION,Exit B,103.845229558929,1.29905589070891
DHOBY GHAUT MRT STATION,Exit E,103.84537229423,1.29974847066982
DHOBY GHAUT MRT STATION,Exit F,103.845842318018,1.29963489191106
BUGIS MRT STATION,Exit C,103.855685703914,1.30000694069987
CITY HALL MRT STATION,Exit A,103.853020413551,1.29322711034183
CITY HALL MRT STATION,Exit B,103.851960217746,1.29309991857995
BUGIS MRT STATION,Exit B,103.856336627673,1.3007821987657
BUGIS MRT STATION,Exit A,103.855924081461,1.30120408956464
OUTRAM PARK MRT STATION,Exit 1,103.838657701712,1.2816024282435
OUTRAM PARK MRT STATION,Exit 2,103.838934837217,1.28167534568857
TANJONG PAGAR MRT STATION,Exit B,103.846544590474,1.2766717422527
TANJONG PAGAR MRT STATION,Exit A,103.84483401421,1.27640850073994
TANJONG PAGAR MRT STATION,Exit C,103.846533557964,1.27608922999502
TANJONG PAGAR MRT STATION,Exit D,103.846908800204,1.27606482826343
RAFFLES PLACE MRT STATION,Exit H,103.851621715866,1.28525828120125
RAFFLES PLACE MRT STATION,Exit E,103.851522595155,1.28321158212436
RAFFLES PLACE MRT STATION,Exit B,103.851479978299,1.28460687453702
RAFFLES PLACE MRT STATION,Exit G,103.851478131997,1.28501689730178
RAFFLES PLACE MRT STATION,Exit A,103.851438353658,1.28412514770369
RAFFLES PLACE MRT STATION,Exit D,103.851353214562,1.28364139087742
DHOBY GHAUT MRT STATION,Exit D,103.845030131864,1.29993066561743
OUTRAM PARK MRT STATION,Exit 4,103.840386787096,1.28021335386912
OUTRAM PARK MRT STATION,Exit 5,103.839549241441,1.2789469557329
OUTRAM PARK MRT STATION,Exit 6,103.838537251968,1.27905123851202
CLARKE QUAY MRT STATION,Exit C,103.846665833855,1.28938385187247
CLARKE QUAY MRT STATION,Exit F,103.847129742733,1.28940556680266
CLARKE QUAY MRT STATION,Exit A,103.846064543773,1.28689878783571
CLARKE QUAY MRT STATION,Exit E,103.847032643299,1.28900018307139
CHINATOWN MRT STATION,Exit C,103.842812853584,1.2846748973681
CHOA CHU KANG LRT STATION,Exit B,103.744595143026,1.38497966418718
CHINATOWN MRT STATION,Exit E,103.844428119405,1.28504408060892
QUEENSTOWN MRT STATION,Exit A,103.806182777133,1.29424726215095
REDHILL MRT STATION,Exit A,103.816994458553,1.28937070467351
REDHILL MRT STATION,Exit B,103.81724937308,1.28948587536099
COMMONWEALTH MRT STATION,Exit B,103.798057882031,1.30275277699775
COMMONWEALTH MRT STATION,Exit A,103.797958292266,1.30264816140773
TIONG BAHRU MRT STATION,Exit A,103.826990595146,1.28575945589882
TIONG BAHRU MRT STATION,Exit B,103.827496413393,1.28636194139043
HARBOURFRONT MRT STATION,Exit C,103.822531651626,1.26525988373469
HARBOURFRONT MRT STATION,Exit B,103.820508811132,1.2651546823432
ORCHARD MRT STATION,Exit 4,103.832039800882,1.30456047411925
ORCHARD MRT STATION,Exit 1,103.832524259379,1.30489217813715
NEWTON MRT STATION,Exit A,103.837881325391,1.31259779668808
NEWTON MRT STATION,Exit B,103.838219069361,1.31207546212127
ORCHARD MRT STATION,Exit 2,103.832619611515,1.30435439856042
LAVENDER MRT STATION,Exit A,103.863043062903,1.30716946047274
LAVENDER MRT STATION,Exit B,103.862650316623,1.30761853913167
KALLANG MRT STATION,Exit B,103.871587075861,1.3117817705438
KALLANG MRT STATION,Exit A,103.871730564168,1.31154048297553
ALJUNIED MRT STATION,Exit B,103.882472887782,1.31648793030408
ALJUNIED MRT STATION,Exit A,103.882496650457,1.31623848534471
LITTLE INDIA MRT STATION,Exit B,103.848985089711,1.30656355535778
FARRER PARK MRT STATION,Exit B,103.854763767756,1.3135439659757
FARRER PARK MRT STATION,Exit E,103.85265097068,1.31188353723816
FARRER PARK MRT STATION,Exit F,103.853199391142,1.31142204648133
PROMENADE MRT STATION,Exit A,103.860673611302,1.29171166099886
TOA PAYOH MRT STATION,Exit A,103.847723804314,1.33237644203021
LAKESIDE MRT STATION,Exit A,103.720448529393,1.3439833412622
CHINESE GARDEN MRT STATION,Exit C,103.733393135763,1.34156582633258
CHINESE GARDEN MRT STATION,Exit B,103.732741825545,1.34198208956493
CHINESE GARDEN MRT STATION,Exit A,103.732220154829,1.34243874323998
JURONG EAST MRT STATION,Exit C,103.742762081653,1.33274868462584
JURONG EAST MRT STATION,Exit A,103.741759898309,1.33398960393819
JURONG EAST MRT STATION,Exit B,103.742640162983,1.33252623564817
YEW TEE MRT STATION,Exit B,103.747329880035,1.39806776806003
YEW TEE MRT STATION,Exit A,103.747195166471,1.39765547935269
YEW TEE MRT STATION,Exit C,103.74743189325,1.39700077173066
YEW TEE MRT STATION,Exit D,103.747111431,1.39727251197228
BUKIT GOMBAK MRT STATION,Exit B,103.752092995698,1.35869526126909
KEAT HONG LRT STATION,Exit A,103.749226841606,1.37846496701683
TECK WHYE LRT STATION,Exit A,103.753826102342,1.37656419493699
PHOENIX LRT STATION,Exit A,103.758252475106,1.37861406821397
BUKIT PANJANG MRT STATION,Exit A,103.759597843573,1.38074511730578
