school_name,address,postal_code,type_code,nature_code,session_code,mainlevel_code,sap_ind,autonomous_ind,gifted_ind,ip_ind,latitude,longitude,cluster
BUKIT TIMAH PRIMARY SCHOOL,111 Lorong Kismis,598112,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.3377498622588,103.766855344779,0
BUKIT VIEW PRIMARY SCHOOL,18 BUKIT BATOK STREET 21,659634,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.34586054788695,103.75366641455,0
BUKIT VIEW SECONDARY SCHOOL,16 BUKIT BATOK STREET 21,659633,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,False,1.3457330554294,103.752226593984,0
CANBERRA PRIMARY SCHOOL,21 ADMIRALTY DRIVE,757714,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.45125024371543,103.815858858929,7
CANBERRA SECONDARY SCHOOL,51 SEMBAWANG DRIVE,757699,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,False,1.45319086315972,103.814203583818,7
CANOSSA CATHOLIC PRIMARY SCHOOL,1 Sallim Road,387621,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.32664424544839,103.882227964852,2
CANTONMENT PRIMARY SCHOOL,1 Cantonment Close,88256,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.33436225327519,103.966495566543,6
CASUARINA PRIMARY SCHOOL,30 PASIR RIS ST 41,518935,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.37246063927999,103.957020286115,1
CATHOLIC HIGH SCHOOL,9 BISHAN STREET 22,579767,GOVERNMENT-AIDED SCH,BOYS' SCHOOL,SINGLE SESSION,MIXED LEVELS,True,True,True,True,1.3547230747166,103.844874676599,2
CATHOLIC JUNIOR COLLEGE,129 WHITLEY ROAD,297822,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,FULL DAY,JUNIOR COLLEGE,False,False,False,False,1.32455605783219,103.835028842353,2
CEDAR GIRLS' SECONDARY SCHOOL,1 CEDAR AVENUE,349692,GOVERNMENT SCHOOL,GIRLS' SCHOOL,SINGLE SESSION,SECONDARY,False,True,False,True,1.33375800216334,103.873933064886,3
CEDAR PRIMARY SCHOOL,15 CEDAR AVENUE,349700,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.33566084356265,103.87562006259,6
CHANGKAT CHANGI SECONDARY SCHOOL,23 SIMEI ST 3,529894,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,False,1.33950630072876,103.953245525564,6
CHANGKAT PRIMARY SCHOOL,11 SIMEI ST 3,529896,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.34023163951633,103.952080114035,6
CHIJ (KATONG) PRIMARY,17 MARTIA ROAD,424821,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.30648535277087,103.911105620496,2
CHIJ (KELLOCK),1 Bukit Teresa Road,99757,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.33436225327519,103.966495566543,2
